Category,System Name,System Code,Description,Features Count,Applications Count,Advantages Count,Specs Count,Materials,Page
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,45
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,47
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,47
Chain Conveyor,X85 Chain System,X85,Spiral elevator– Configuration strings,0,1,0,1,,48
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,49
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,49
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,51
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,51
Chain Conveyor,X85 Chain System,X85,Drive units X85 – Configuration strings,0,0,0,0,,52
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,53
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,53
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,55
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,55
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,57
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,57
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,59
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,59
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,61
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,61
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,63
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,63
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,65
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,65
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,67
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,67
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,69
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,69
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,71
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,71
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,73
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,73
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,75
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,75
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,77
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,77
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,79
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,79
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,81
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,81
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,83
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,83
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,85
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,85
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,87
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,87
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,89
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,89
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,91
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,91
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,93
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,93
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,95
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,95
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,97
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,97
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,99
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,99
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,101
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,101
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,103
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,103
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,105
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,105
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,107
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,107
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,109
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,109
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,111
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,111
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,113
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,113
Chain Conveyor,X65 Chain System,X65,*This product is recommended for frequent users.,0,1,0,0,"Steel, Steel",114
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,115
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,115
Chain Conveyor,X65 Chain System,X65,Extra slide rail in plain bends must be anchored using,0,0,0,5,Plastic,116
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,117
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,117
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,119
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,119
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,121
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,121
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,123
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,123
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,125
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,125
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,127
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,127
Chain Conveyor,X65 Chain System,X65,*Use the online configurator to specify and order.,0,1,0,3,,128
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,129
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,129
Chain Conveyor,X65 Chain System,X65,The beams have predrilled 8 mm holes,0,0,0,3,,130
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,131
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,131
Chain Conveyor,X65 Chain System,X65,For the Connecting bracket hole pattern,0,0,0,1,Plastic,132
Chain Conveyor,X85 Chain System,X85,plastic screws due to lack of space for the rivet crimping,0,0,0,1,"Plastic, Plastic, Plastic, Plastic",132
Chain Conveyor,X65 Chain System,X65,"Slide rails X65, hardened steel",0,0,0,0,Steel,133
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,133
Chain Conveyor,X65 Chain System,X65,"Slide rails X65, hardened steel",0,1,0,3,"Steel, Steel, Steel, Stainless Steel, Steel, Stainless Steel, Steel, Plastic",134
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,135
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,135
Chain Conveyor,X65 Chain System,X65,"End drive units X65 Type H, direct drive, with slip clutch",0,0,0,4,,136
Chain Conveyor,X65 Chain System,X65,"End drive units X65 Type M, direct drive, no slip clutch",0,0,0,0,,137
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,137
Chain Conveyor,X65 Chain System,X65,"End drive units X65, suspended, slip clutch",0,0,0,0,,139
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,139
Chain Conveyor,X65 Chain System,X65,"Double drive units X65, direct drive",0,0,0,6,,140
Chain Conveyor,X65 Chain System,X65,"Intermediate drive units X65, direct drive",0,0,0,0,,141
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,141
Chain Conveyor,X65 Chain System,X65,"Horizontal bend drive unit, direct drive, no slip clutch",0,1,0,6,,142
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,143
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,143
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,145
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,145
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,147
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,147
Chain Conveyor,X65 Chain System,X65,"R300: 0,60 m 1-way (1,15 m 2-way)",0,0,0,1,,148
Chain Conveyor,X65 Chain System,X65,Support rail for plain bends X65,0,0,0,0,,149
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,149
Chain Conveyor,X65 Chain System,X65,"Effective track length: 0,25 m 1-way (0,50 m 2-way)",0,0,0,1,,150
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,151
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,151
Chain Conveyor,X65 Chain System,X65,The sliding strip must be anchored to the front piece.,0,0,0,1,,152
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,153
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,153
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,155
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,155
Chain Conveyor,X65 Chain System,X65,The pallet locating station for the X65 pallet system is,0,3,0,0,,156
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,157
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,157
Chain Conveyor,X65 Chain System,X65,,0,0,0,2,,158
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,159
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,159
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,161
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,161
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,163
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,163
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,165
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,165
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,167
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,167
Chain Conveyor,X65 Chain System,X65,Protective cover for horizontal,0,0,0,0,,168
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,169
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,169
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,171
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,171
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,173
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,173
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,175
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,175
Chain Conveyor,X85 Chain System,X85,"* Link kit contains 10 links, 10 pivots, 10 steel pins",0,0,0,1,"Steel, Steel, Steel, Steel, Steel",176
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,177
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,177
Chain Conveyor,X85 Chain System,X85,"The X85 beams are designed for rigidness, smooth run­",2,2,0,0,,178
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,179
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,179
Chain Conveyor,X65 Chain System,X65,,0,0,0,2,Plastic,180
Chain Conveyor,X85 Chain System,X85,,0,0,0,2,Plastic,180
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,181
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,181
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,183
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,183
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,185
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,185
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,187
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,187
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,189
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,189
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,191
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,191
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,193
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,193
Chain Conveyor,X85 Chain System,X85,*Also available as a configuration option through XBNG,0,1,0,2,,194
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,195
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,195
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,197
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,197
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,199
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,199
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,201
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,201
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,203
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,203
Chain Conveyor,X85 Chain System,X85,The pallet locating stations for the X85 pallet system are,0,3,0,1,,204
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,205
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,205
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,207
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,207
Chain Conveyor,X85 Chain System,X85,,0,0,0,2,,208
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,209
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,209
Chain Conveyor,X85 Chain System,X85,,0,0,0,2,,210
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,211
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,211
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,213
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,213
Chain Conveyor,X85 Chain System,X85,Guide rails for pallets – introduction,0,0,0,2,"Aluminium, Plastic, Aluminium",214
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,215
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,215
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,217
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,217
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,219
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,219
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,221
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,221
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,223
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,223
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,225
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,225
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,227
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,227
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,229
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,229
Chain Conveyor,X85 Chain System,X85,This tool is recommended for frequent users,0,1,0,2,Steel,230
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,231
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,231
Chain Conveyor,X65 Chain System,X65,Extra slide rail in plain bends must be anchored using,0,0,0,3,"Steel, Stainless Steel, Aluminium, Aluminium, Plastic, Plastic, Plastic, Plastic",232
Chain Conveyor,X85 Chain System,X85,Extra slide rail in plain bends must be anchored using,0,0,0,3,"Steel, Stainless Steel, Aluminium, Aluminium, Plastic, Plastic, Plastic, Plastic",232
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,233
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,233
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,235
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,235
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,237
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,237
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,239
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,239
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,241
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,241
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,243
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,243
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,245
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,245
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,247
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,247
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,249
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,249
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,251
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,251
Chain Conveyor,X65 Chain System,X65,Mounting tool for slide rail XK,0,0,0,1,,252
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,253
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,253
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,255
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,255
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,257
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,257
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,259
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,259
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,261
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,261
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,263
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,263
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,265
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,265
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,267
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,267
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,269
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,269
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,271
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,271
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,273
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,273
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,275
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,275
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,277
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,277
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,279
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,279
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,281
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,281
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,283
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,283
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,285
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,285
Chain Conveyor,X85 Chain System,X85,*This tool is recommended for frequent users,0,1,0,2,Steel,286
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,287
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,287
Chain Conveyor,X85 Chain System,X85,Mounting tool for slide rail (X85),0,0,0,3,"Aluminium, Aluminium, Plastic, Plastic, Plastic, Plastic",288
Chain Conveyor,X65 Chain System,X65,Plastic screws 5 mm for XS-X65-X85-,0,0,0,2,"Plastic, Plastic, Plastic",288
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,289
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,289
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,291
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,291
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,293
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,293
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,295
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,295
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,297
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,297
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,299
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,299
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,301
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,301
Chain Conveyor,X65 Chain System,X65,Plastic screws 5 mm for XS-X65-X85-,0,0,0,2,"Plastic, Plastic, Plastic",302
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,303
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,303
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,305
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,305
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,307
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,307
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,309
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,309
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,311
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,311
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,312
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,312
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,313
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,313
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,315
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,315
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,317
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,317
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,319
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,319
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,321
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,321
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,323
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,323
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,325
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,325
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,326
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,326
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,327
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,327
Chain Conveyor,X65 Chain System,X65,Effective track width W (see illustration) with 15 mm,0,0,0,3,,328
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,328
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,329
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,329
Chain Conveyor,X65 Chain System,X65,"Fixed guide rail brackets, polyamide",0,2,0,3,,330
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,330
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,331
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,331
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,333
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,333
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,335
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,335
Chain Conveyor,X65 Chain System,X65,"Guide rails system X45, X45H and X65",0,1,0,2,,336
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,337
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,337
Chain Conveyor,X65 Chain System,X65,Guide rail bracket for X65 and X45H,0,0,0,0,,338
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,339
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,339
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,341
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,341
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,343
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,343
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,345
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,345
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,346
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,346
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,347
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,347
Chain Conveyor,X65 Chain System,X65,Type CS for vertical support beam 88 mm,0,0,0,3,,348
Chain Conveyor,X85 Chain System,X85,,0,0,0,2,,348
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,349
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,349
